embedded_machine_dim_0,core,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
0.44672376,0.7766553,-0.529974,-0.5266916,-0.5091052,-0.5378717,-0.5469776,-0.5423544,-0.53032917,-0.50276333,-0.46183,-0.54595757,-0.51890814,-0.026985968,-0.46896982,-0.023506988,-0.5028007,-0.4948116,-0.31169388,-0.52402765,-0.5179002,-0.4383493,-0.51559365,-0.27398056,-0.5061492,-0.3798269,-0.3878187,-0.3774057,-0.5026762,-0.2287897,-0.2205712,-0.56536955,-0.29060417,-0.5137616,-0.50052613,-0.2073379,-0.31373203,-0.58017856,-0.523307,-0.5068253,-0.5042083,-0.31289223,-0.50262505,-0.5173504,-0.4928727,-0.51949763,-0.5015458,-0.5654097,-0.48614487,-0.5564415,-0.46439546,-0.53218514,0.93838376,0.77610946,-0.5074484,-0.49965897,-0.5537,-0.50898975,-0.5202098,-0.49522874,-0.5960942,,,-0.374407,-0.49495777,-0.51847875
0.44672376,0.049686812,-0.42508304,0.010632883,-0.43985176,-0.45604092,-0.50891507,-0.4885434,-0.49637377,-0.4851745,-0.39467245,-0.48981705,-0.5005457,-0.050624397,-0.44266057,-0.42361066,-0.5258544,-0.45646688,-0.34781685,-0.47626746,-0.41113064,-0.45704764,-0.41307428,-0.22895738,-0.44356734,-0.3787113,-0.40502104,-0.35872972,-0.4552846,-0.061200503,-0.054780032,-0.4965313,-0.124660544,-0.4490631,-0.43497154,-0.036482885,-0.21454404,-0.52909124,-0.38776028,-0.41544715,-0.41361508,-0.1429251,-0.43899462,-0.41276428,-0.4161315,-0.4152383,-0.43749914,-0.50432616,-0.38665774,-0.48501626,-0.43705988,-0.40944955,0.3715599,0.035348255,-0.4219031,-0.40623653,-0.48724592,0.03697268,-0.4645008,-0.34927452,-0.51357055,,,-0.3781843,-0.4656145,-0.41807994
0.44672376,-0.03108747,-0.3992199,0.14257641,-0.41905412,-0.4368849,-0.4996309,-0.4414972,-0.49153,-0.48451063,-0.40176538,-0.44240475,-0.4958385,-0.06619674,-0.43334335,-0.533856,-0.53890514,-0.44830844,-0.36559045,-0.44658303,-0.3861591,-0.46059725,-0.38787958,-0.40872458,-0.42083305,-0.37619805,-0.36475018,-0.34528217,-0.4246363,-0.02514053,-0.019880425,-0.4740102,-0.07848398,-0.42771807,-0.41653576,0.0022983567,-0.18141533,-0.49382806,-0.3570852,-0.3896121,-0.3957422,-0.104689375,-0.41831392,-0.38664007,-0.3960201,-0.38899603,-0.4158918,-0.4863214,-0.36051336,-0.46541065,-0.40100256,-0.37923986,0.09703852,-0.032351017,-0.40329367,-0.38586178,-0.47042093,0.17227717,-0.4295722,-0.33943996,-0.4976134,,,-0.38235506,-0.46908414,-0.39857835
0.44672376,-0.31379744,-0.43846813,-0.03795085,-0.44196925,-0.3748626,-0.50616395,-0.46004236,-0.5184562,-0.48033145,-0.4040409,-0.481664,-0.5077402,-0.14689657,-0.4451241,-0.619327,-0.56836694,-0.45430642,-0.29185078,-0.47483152,-0.4251401,-0.36171123,-0.42680046,-0.21979743,-0.4485588,-0.3754048,-0.38549024,-0.35048246,-0.4585139,-0.30235642,-0.3005597,-0.39500067,-0.32878396,-0.4552256,-0.44078594,-0.31528246,-0.32538256,-0.49165177,-0.43106425,-0.4264866,-0.42261258,-0.3544726,-0.4455271,-0.421882,-0.4264722,-0.4251601,-0.4444492,-0.48581368,-0.3622304,-0.46287304,-0.43541518,-0.41199595,-0.2590632,-0.24354093,-0.341036,-0.3445191,-0.47718853,-0.09087577,-0.45879284,-0.36121538,-0.39194223,,,-0.35607132,-0.46323532,-0.42830536
0.44672376,-0.3541846,-0.40980154,0.090118706,-0.41943637,-0.34382817,-0.49471304,-0.4309221,-0.5074651,-0.4920753,-0.35837626,-0.43146515,-0.4860448,-0.14772026,-0.44395548,-0.6205657,-0.5550818,-0.44761345,-0.34889054,-0.44239637,-0.39769143,-0.3354106,-0.3991325,-0.23270062,-0.42124397,-0.3709122,-0.36702463,-0.34374812,-0.42723525,-0.29558784,-0.29235464,-0.3598495,-0.3237996,-0.4316428,-0.41695833,-0.30619484,-0.3364783,-0.47402018,-0.40343377,-0.39930615,-0.39691183,-0.34798104,-0.42147267,-0.39347836,-0.40315157,-0.3971661,-0.42037818,-0.45972428,-0.33787084,-0.44373643,-0.39948976,-0.38040605,-0.30495083,-0.27592662,-0.31460345,-0.31714308,-0.4594048,0.029797526,-0.42786887,-0.33600172,-0.35408202,,,-0.35009056,-0.48672977,-0.40392834
0.44672376,-0.5157331,-0.07862877,1.2088413,-0.18699053,-0.05531631,-0.36135966,-0.015850125,-0.32597992,-0.2952593,-0.16626966,-0.025101896,-0.29886973,-0.16503239,-0.3672386,-0.6168496,-0.29422346,-0.3510567,-0.15735944,-0.05171356,-0.023147024,-0.04395125,-0.02083335,-0.24999273,-0.029224453,-0.15150155,-0.15145057,-0.24231806,-0.056149248,-0.19734783,-0.20036806,-0.10563068,-0.22560622,-0.06658692,-0.04087594,-0.23547484,-0.38082162,-0.23603067,-0.17155112,-0.069672644,-0.06163536,-0.22296476,-0.043048207,-0.02561096,-0.17175657,-0.037898142,-0.03680094,-0.24758537,-0.07722311,-0.24066207,-0.08027287,-0.08078178,-0.5010002,-0.35684758,-0.03458927,-0.0405606,-0.25968552,1.1173033,-0.081337094,-0.08127107,0.052175418,,,-0.25951388,-0.1847716,-0.07028686
0.44672376,-0.59650743,0.42381057,3.4850304,0.11222407,0.5077116,-0.11473794,0.3188205,0.033648234,0.050958786,0.24467713,0.2888356,0.031368207,-0.1618207,-0.1942545,-0.26381692,0.18036991,-0.14354499,0.1413749,0.332577,0.5240197,0.570858,0.5305039,0.19696273,0.38601926,0.28613862,0.23660463,-0.13095187,0.3097882,0.0045353016,-0.016285619,0.44660935,0.09886324,0.3225431,0.47610432,-0.09649959,-0.06760475,0.2896709,0.29272288,0.4566091,0.46814403,0.07792555,0.37887534,0.5420631,0.20286033,0.500256,0.37387887,0.10607932,0.42682722,0.16263919,0.34714127,0.5020961,-0.40259513,-0.33690554,0.5242544,0.5156481,0.1178523,3.2910466,0.3008883,0.45001474,0.8209395,,,-0.030593293,0.36888447,0.4821437
1.2152075,0.29200965,-0.4370206,-0.35723576,-0.18526033,-0.50758964,-0.4446612,0.0036569957,-0.40946326,-0.37132484,-0.38783097,0.020813903,-0.35879484,-0.11902489,-0.18866418,-0.4133913,-0.5145229,-0.23023608,0.30317086,-0.32705432,-0.43093413,-0.45288312,-0.43118367,0.31484628,-0.45259413,-0.1718921,-0.05237725,-0.14288647,-0.3569129,-0.005446261,-2.8146591e-05,-0.4491564,-0.06995855,-0.4267729,-0.41668525,0.012914044,-0.06483082,-0.50611115,-0.36763254,-0.43189657,-0.3981664,-0.09309915,-0.45294324,-0.4343148,-0.4508335,-0.43347308,-0.4501285,-0.46938413,-0.38052145,-0.45075458,0.0059775845,-0.37881178,0.5138745,-0.014818139,-0.45901293,-0.4605542,-0.43376312,-0.30056825,-0.2260344,-0.38901028,-0.5356672,,,-0.35929775,-0.38789448,-0.43576947
1.2152075,-0.19263603,-0.30628484,0.32113814,-0.074829064,-0.40985876,-0.31590393,0.040212113,-0.23967357,-0.20903978,-0.20346709,0.054369833,-0.16736653,-0.15696676,0.14110157,-0.5363334,-0.48107556,0.085375085,0.34160873,-0.27354327,-0.31038678,-0.3715216,-0.31035468,0.3022845,-0.3308152,-0.13890257,-0.04371606,0.11504456,-0.29347876,0.37308028,0.3843079,-0.2941145,0.2679955,-0.3282009,-0.29943848,0.39626908,0.44109526,-0.43056828,-0.20805912,-0.31004506,-0.23906867,0.26504588,-0.33144525,-0.3047442,-0.3745595,-0.31416467,-0.34494177,-0.33652878,-0.17975876,-0.31510648,0.0903223,-0.104577534,-0.08696839,-0.22671121,-0.3273804,-0.3308221,-0.2534255,0.4492965,-0.21183838,-0.18665834,-0.377838,,,-0.3241216,-0.25783238,-0.32298803
1.2152075,-0.3541846,-0.16974068,1.0568101,0.19784905,-0.308579,-0.1823273,0.3135086,-0.05302318,-0.03090273,-0.058531314,0.29512355,-0.0149265425,-0.14824411,0.4732677,-0.5205398,-0.417463,0.40193805,0.13350515,0.021070467,-0.16743852,-0.2662351,-0.17161654,-0.22529377,-0.14861697,0.053700905,0.13975623,0.38905492,0.079102136,0.75839067,0.7614693,-0.094639815,0.592423,-0.1602389,-0.15707476,0.77726215,0.5399662,-0.33163962,-0.046784736,-0.16244742,-0.062773526,0.6160201,-0.14930452,-0.17672709,-0.30057257,-0.17917895,-0.14591654,-0.17936763,0.02972111,-0.16909443,0.18080522,0.1752809,-0.17709157,-0.29808766,-0.19608113,-0.20056273,-0.05521015,1.191733,0.08938094,-0.0027881577,-0.26165777,,,-0.29099146,-0.09822876,-0.19993804
